club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
Eastside FC,,Eastside FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,398,90882,ECNL,3,16,11,4,1,38,9,29,2.12,34,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
Washington Premier,,Washington Premier ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,112,99088,ECNL,4,15,9,5,1,34,15,19,1.86,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
Utah Avalanche,,Utah Avalanche ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,107,103936,ECNL,5,15,8,4,3,21,11,10,1.80,27,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
Oregon Surf,,Oregon Surf ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,737,90916,ECNL,6,16,8,7,1,23,24,-1,1.56,25,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
Seattle United,,Seattle United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,1643,103559,ECNL,7,15,5,9,1,18,25,-7,1.06,16,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
La Roca FC,,La Roca FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,1760,117540,ECNL,8,15,1,13,1,3,43,-40,0.26,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
Boise Thorns FC,,Boise Thorns FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,51,115480,ECNL,9,14,0,11,3,6,61,-55,0.21,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
PacNW SC,,PacNW SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northwest 2025-26,69,3930,2331,104642,ECNL,10,13,0,11,2,5,38,-33,0.15,2,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3930/12/69/0/0
Florida Krush,,Florida Krush ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,379,106035,ECNL,1,14,11,1,2,62,6,56,2.50,35,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Concorde Fire Platinum,,Concorde Fire Platinum ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,30,112295,ECNL,3,13,10,1,2,43,9,34,2.46,32,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Florida Premier FC,,Florida Premier FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,2731,113726,ECNL,4,14,10,0,4,47,11,36,2.42,34,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Sporting Jax,,Sporting Jax ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,1353,113642,ECNL,5,14,10,0,4,30,7,23,2.42,34,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Concorde Fire Premier,,Concorde Fire Premier ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,30,112296,ECNL,6,14,7,4,3,26,28,-2,1.71,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
United Futbol Academy,,United Futbol Academy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,3407,105642,ECNL,7,14,6,5,3,26,25,1,1.50,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
FC Prime,,FC Prime ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,2329,105806,ECNL,8,14,6,6,2,23,19,4,1.42,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
