club_name,canonical_name,league_name,city,state,source_url,website,website_status,website_discovered_at,source_type,website_source
Pittsburgh Riverhounds,Pittsburgh Riverhounds,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.riverhounds.com/,,,,database
Placer United,Placer,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.placerunited.com/,,,,ecnl_directory
Pleasanton RAGE,Pleasanton Rage,ECNL Girls,,,https://theecnl.com/sports/directory,http://pleasantonrage.org/,,,,ecnl_directory
Portland Thorns,Portland Thorns,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.thorns.com/academy,,,,ecnl_directory
Racing Louisville Academy,Racing Louisville Academy,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.soccerwire.com/club/loucity-academy/,,,,database
Real Colorado Athletico,Real Colorado Athletico,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.realcolorado.net/academy-boys,,,,database
Real Colorado National,Real Colorado National,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.topdrawersoccer.com/club-soccer/club-soccer-team-rankings/club-soccer-team-profile/women/u16/tid-25039/real-colorado,,,,database
Richmond United,Richmond,ECNL Girls,,,https://theecnl.com/sports/directory,https://soccer.exposureevents.com/234782/3v3-live-richmond,,,,database
Rockford Raptors,Rockford Raptors,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.illinoisyouthsoccer.org/weekly-blog/game-of-the-week-recap-wizard-fc-vs-rockford-raptors-fc/,,,,database
SLSG Green,Slsg Green,ECNL Girls,,,https://theecnl.com/sports/directory,https://prepsoccer.com/2025/04/ecnl-midwest-conference-overview-slsg-green-g09/,,,,database
SLSG Navy,Slsg Navy,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.topdrawersoccer.com/club-soccer/club-soccer-team-rankings/club-soccer-team-profile/women/u16/tid-26738/st-louis-scott-gallagher,,,,database
SOLAR SC,Solar,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.solarsoccerclub.net,,,,ecnl_directory
San Diego Surf,San Diego Surf,ECNL Girls,,,https://theecnl.com/sports/directory,https://surfsoccer.com/,,,,database
San Juan SC,San Juan,ECNL Girls,,,https://theecnl.com/sports/directory,https://playclubsoccer.org/club/san-juan-soccer-club,,,,database
Santa Rosa United,Santa Rosa,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.srunited.com/,,,,ecnl_directory
Scorpions SC,Scorpions,ECNL Girls,,,https://theecnl.com/sports/directory,https://playclubsoccer.org/club/scorpions-soccer,,,,database
Seattle United,Seattle,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.soundersfc.com/,,,,database
Select,Select,ECNL Girls,,,https://theecnl.com/sports/directory,https://selectma.com,,,,ecnl_directory
Slammers FC HB Koge,Slammers Hb Koge,ECNL Girls,,,https://theecnl.com/sports/directory,https://slammersfc.org/,,,,ecnl_directory
South Carolina United,South Carolina,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.southcarolinaunitedfc.com/,,,,database
